ID,Number of Bags,Bag Weight,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Overall,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
17,5,2 kg,Gesha,Natural / Dry,8,8.17,8,7.92,7.92,7.92,10,8.17,86.08,10.3,0,0,yellow-green,0
18,8,1 kg,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,10,8.17,85.92,11,0,0,brownish,1
19,200,30 kg,Bourbon,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,10,7.92,85.83,10,0,0,greenish,0
20,8,30 kg,Gesha,Natural / Dry,8,7.92,8.08,7.92,7.75,8,10,8.08,85.75,11.6,0,0,yellowish,0
21,1,20 kg,Typica,Natural / Dry,8.08,8,7.92,7.92,8,7.83,10,7.92,85.67,10.4,0,0,green,0
22,2,1 kg,Catimor,Pulped natural / honey,7.67,8,7.83,8,8.08,8,10,8.08,85.67,9.8,0,0,browish-green,5
23,6,5 kg,Castillo Paraguaycito,,8.08,8,7.83,8.17,7.75,7.83,10,8,85.67,11.3,0,0,brownish,2
24,4,50 kg,SL34,Washed / Wet,7.83,8,7.92,8,8,7.92,10,7.92,85.58,10.6,0,0,bluish-green,0
25,25,60 kg,,Pulped natural / honey,7.83,8.08,7.83,7.92,8,7.83,10,8,85.5,11.3,2,0,green,3
26,1,100 kg,Gesha,Natural / Dry,7.92,7.92,8,7.92,7.83,7.92,10,8,85.5,9.1,0,0,green,2
27,1,90 kg,Gesha,Natural / Dry,8.17,8.08,7.92,8,7.58,7.83,10,7.92,85.5,10.6,0,0,green,0
28,1,85 kg,Gesha,Natural / Dry,8,8,8,7.92,7.75,7.92,10,7.92,85.5,10.2,0,0,blue-green,0
29,80,15 kg,Typica,Washed / Wet,8,7.92,8,7.83,7.67,8,10,8,85.42,9.3,0,0,green,0
30,3,48 kg,Typica,Washed / Wet,8,8,7.83,7.83,7.75,7.92,10,8.08,85.42,11.4,0,0,bluish-green,0
31,3,50 kg,Typica,Washed / Wet,7.92,8,7.83,7.92,7.83,7.83,10,8,85.33,10.8,0,0,green,0
32,4,5 kg,Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10,8,85.33,11.3,0,0,green,0
33,320,60 kg,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8,8,8,10,8,85.33,9.9,0,2,green,3
34,320,60 kg,Ethiopian Heirlooms,Natural / Dry,8,8.08,8,8,7.67,7.75,10,7.83,85.33,12.3,0,3,yellow green,4
35,320,19200 kg,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8,7.75,10,7.83,85.25,9.4,0,1,greenish,1
36,1,100 kg,Gesha,Washed / Wet,8,7.92,7.83,7.92,7.83,7.83,10,7.92,85.25,9.5,0,0,bluish-green,0
37,20,5 kg,Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10,7.92,85.25,11.3,0,0,green,0
38,300,60 kg,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8,10,8,85.25,9.2,0,0,greenish,1
39,20,1 kg,Gesha,Washed / Wet,7.75,7.92,7.75,8,7.83,7.92,10,8,85.17,10.3,0,0,bluish-green,0
40,1,10 kg,Typica,Natural / Dry,8,7.92,7.83,7.92,7.75,7.75,10,7.92,85.08,10,0,0,brownish,0
41,1,2 kg,Typica,Washed / Wet,8,8.08,7.67,7.75,7.92,7.83,10,7.83,85.08,10.5,0,0,greenish,0
42,1,50 kg,Gesha,Washed / Wet,8,7.92,7.67,8,7.75,7.83,10,7.92,85.08,10,0,0,pale yellow,5
43,320,60 kg,SL14,Washed / Wet,8,7.92,7.75,7.75,7.75,7.92,10,7.92,85,11,0,0,green,1
44,1,50 kg,Typica,,7.92,8,7.92,8,7.58,7.75,10,7.83,85,10.9,0,0,green,0
45,6,50 kg,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10,7.83,85,10.1,0,0,yellow green,0
46,600,30 kg,Caturra,Washed / Wet,7.67,8.08,7.67,8,7.92,7.83,10,7.83,85,9.9,0,1,green,1
47,632,30 kg,Catuai,Washed / Wet,7.67,8,7.75,7.92,8,7.83,10,7.83,85,11.3,0,0,green,4
48,275,69 kg,Caturra,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,10,7.92,84.92,11.7,0,3,green,1
49,1,13 kg,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10,7.83,84.92,9.5,0,0,green,2
50,1,4 kg,Yellow Bourbon,Natural / Dry,8,8,7.75,7.75,7.67,7.75,10,7.92,84.83,9.7,0,0,brownish,0
51,320,60 kg,Catimor,,7.83,7.92,7.75,7.83,7.83,7.83,10,7.83,84.83,11.9,0,3,bluish-green,2
52,3,5 kg,Gesha,Washed / Wet,8,8,7.83,7.83,7.58,7.83,10,7.75,84.83,10.7,0,0,greenish,0
53,620,30 kg,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10,7.83,84.83,11.2,0,0,greenish,0
54,1,25 kg,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8,10,8,84.83,9.5,0,0,greenish,0
55,1,30 kg,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10,7.83,84.75,10.4,0,0,green,0
56,5,36 kg,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10,7.83,84.75,11.2,0,1,green,5
57,200,30 kg,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10,7.83,84.75,10.3,0,1,bluish-green,5
58,1,2 kg,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10,7.75,84.75,10,0,0,blue-green,0
59,600,30 kg,Caturra,Washed / Wet,7.67,8,7.67,7.83,7.92,7.67,10,7.92,84.67,10.6,0,0,green,1
60,66,30 kg,Bourbon,Natural / Dry,7.83,8,7.67,7.83,7.75,7.75,10,7.83,84.67,10.9,0,3,yellow-green,2
61,260,69 kg,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10,8.58,84.67,10,0,1,green,2
62,1,16 kg,Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10,7.92,84.58,9.6,0,0,greenish,0
63,16,5 kg,Gesha,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10,7.75,84.58,11.5,0,0,green,0
64,74,45 kg,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10,8,84.58,9.9,1,0,green,2
65,1,80 kg,Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10,7.92,84.58,11.2,0,0,green,2
66,1,104 kg,SL34,Natural / Dry,7.83,8,7.67,7.75,7.67,7.75,10,7.92,84.58,10.3,0,0,green,0
67,3,5 kg,Catimor,Natural / Dry,8,7.83,7.75,7.67,7.58,7.83,10,7.92,84.58,11.6,0,0,brownish,0
68,1,22 kg,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10,7.92,84.5,11.7,0,1,green,0
69,1,300 kg,unknown,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10,7.75,84.5,11.3,0,0,bluish-green,0
70,340,69 kg,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10,7.75,84.5,9.8,0,0,green,3
71,584,30 kg,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10,7.83,84.5,10.9,0,0,green,9
72,1,20 kg,Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10,7.83,84.5,10.2,0,0,green,0
73,1,100 kg,Gesha,Washed / Wet,7.83,8,7.5,7.75,7.75,7.75,10,7.83,84.42,10.1,0,0,bluish-green,1
74,600,30 kg,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10,7.75,84.33,9.2,0,1,green,5
75,10,10 kg,Catuai,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10,7.75,84.33,10.1,3,0,yellow-green,7
76,320,60 kg,Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8,7.5,10,7.75,84.33,11,0,5,yellow green,4
77,20,30 kg,Pacamara,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10,7.67,84.33,10.3,0,0,brownish,4
78,275,70 kg,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10,7.83,84.33,11.6,0,0,green,1
79,1,60 kg,"Jember,TIM-TIM,Ateng",Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10,7.83,84.25,11.5,0,1,blue-green,1
80,55,30 kg,Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10,7.75,84.25,10,0,0,green,1
81,5,60 kg,Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10,7.83,84.25,12.1,0,0,blue-green,0
82,345,30 kg,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10,7.75,84.17,10.2,0,0,green,2
83,275,69 kg,Caturra,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10,7.75,84.08,11,0,3,green,2
84,1,110 kg,unknown,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10,7.67,84.08,10.8,0,0,greenish,2
85,1,80 kg,Gesha,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8,9.33,7.92,84.08,10.6,0,0,yello-green,0
86,430,30 kg,Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10,7.67,84.08,11,0,1,green,2
87,200,30 kg,Caturra,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10,7.75,84,11,0,2,green,2
88,16,30 kg,Typica,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10,7.67,84,9.4,0,0,green,0
89,200,60 kg,Bourbon,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10,7.75,84,9.8,0,0,greenish,3
90,300,60 kg,Ethiopian Heirlooms,Washed / Wet,8,7.75,7.5,7.67,7.67,7.67,10,7.75,84,11.3,1,1,green,1
91,320,60 kg,Bourbon,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10,7.75,84,11.6,0,0,greenish,2
92,275,70 kg,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10,7.67,84,13.3,0,2,green,3
93,250,35 kg,Caturra,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10,7.75,83.92,9.5,0,0,green,2
94,1,15 kg,Gesha,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10,7.75,83.92,11.9,0,0,greenish,0
95,35,30 kg,Bourbon,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10,7.75,83.92,10,0,1,green,2
96,1,30 kg,Catimor,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10,7.75,83.92,11.6,0,0,yellowish,3
97,375,70 kg,,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10,7.67,83.83,11.9,0,1,green,1
98,600,30 kg,"BOURBON, CATURRA Y CATIMOR",Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10,7.75,83.83,10.8,0,0,green,4
99,635,30 kg,Bourbon,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10,7.75,83.83,10.9,0,1,greenish,4
100,100,60 kg,Ethiopian Heirlooms,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10,7.75,83.83,12,0,0,green,12
101,285,70 kg,Caturra,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10,7.58,83.83,12.1,2,5,green,5
102,4,15 kg,Typica,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10,7.75,83.83,11.8,0,3,green,3
103,40,35 kg,Bourbon Sidra,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10,7.58,83.75,10.6,0,0,greenish,1
104,600,30 kg,Sarchimor,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10,7.75,83.75,11.7,4,0,green,12
105,1,1 kg,,,7.83,7.75,7.5,7.58,7.67,7.67,10,7.67,83.67,12.4,1,0,greenish,9
106,50,2 kg,SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10,7.67,83.67,10,0,0,bluish-green,0
107,100,30 kg,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10,7.58,83.67,10.2,0,1,pale yellow,1
108,1,13 kg,unknown,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10,7.67,83.67,9.2,0,0,greenish,0
109,9,15 kg,Parainema,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,7.67,83.67,11.1,0,2,pale yellow,1
110,1,10 kg,unknown,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10,7.67,83.58,8.4,0,0,green,0
111,1,10 kg,Typica,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10,7.67,83.58,9.1,0,0,green,0
112,275,69 kg,Caturra,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10,7.75,83.58,10.9,0,2,green,4
113,260,69 kg,SHG,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10,7.67,83.5,11.2,0,1,green,5
114,600,30 kg,Caturra,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10,7.58,83.5,12.2,0,0,bluish-green,2
115,2,1 kg,Bourbon,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10,7.58,83.5,13.1,0,0,green,0
116,320,19200 kg,Ethiopian Heirlooms,Washed / Wet,7.42,7.42,7.42,8,7.92,7.67,10,7.67,83.5,10.4,0,1,greenish,11
117,5,2 kg,Java,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10,7.67,83.42,11.6,0,2,green,0
118,150,60 kg,SL14,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10,7.75,83.42,10.1,0,0,green,3
119,1,40 kg,Typica + SL34,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,7.92,83.42,10.1,0,0,blue-green,0
120,320,60 kg,SL14,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10,7.67,83.33,11.1,0,0,green,5
121,1,8 kg,Typica,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10,7.75,83.33,9.7,0,0,greenish,0
122,320,60 kg,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10,7.5,83.33,11.4,0,0,green,0
123,1,80 kg,Typica,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10,7.75,83.33,9.6,0,0,green,1
124,2,1 kg,Caturra,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10,7.58,83.33,13.5,0,0,greenish,0
125,320,69 kg,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10,7.67,83.33,0,0,0,green,3
126,1,100 kg,SL34,Washed / Wet,7.75,7.83,7.58,7.58,7.58,7.5,10,7.5,83.33,10.7,0,0,blue-green,1
127,2,1 kg,Typica,Washed / Wet,7.92,7.92,7.75,7.33,7.58,7.5,10,7.33,83.33,12.3,0,0,yellow-green,16
128,320,60 kg,Bourbon,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10,7.5,83.25,10.4,0,0,greenish,8
129,960,60 kg,Mundo Novo,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10,7.67,83.25,11.6,0,0,green,4
130,1,320 kg,unknown,Washed / Wet,7.75,7.75,7.58,7.67,7.42,7.5,10,7.58,83.25,9.6,0,0,green,1
131,2,12 kg,"Red Bourbon,Caturra",Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10,7.5,83.25,10.9,0,0,brownish,2
132,9,15 kg,Lempira,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,10,7.5,83.25,10.5,0,0,bluish-green,3
133,260,69 kg,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,7.67,83.25,11.3,0,1,green,5
134,1,16 kg,Typica,Natural / Dry,7.75,7.75,7.5,7.75,7.5,7.42,10,7.5,83.17,9.7,0,0,greenish,2
135,1,100 kg,unknown,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,7.67,83.17,11.8,0,0,blue-green,0
136,26,60 kg,Catimor,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10,7.58,83.08,11.8,0,0,brownish,7
137,250,69 kg,Catuai,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,7.58,83.08,10.6,0,2,green,7
138,325,69 kg,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10,7.5,83.08,9.6,0,0,green,2
139,600,30 kg,Caturra,Washed / Wet,8,7.67,7.42,7.58,7.58,7.42,10,7.33,83,13.1,0,0,bluish-green,1
140,1,12 kg,Typica,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10,7.58,82.92,8.9,0,0,blue-green,0
141,141,69 kg,Bourbon,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10,7.5,82.92,11.9,2,0,green,1
142,1,12 kg,Typica Gesha,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10,7.58,82.92,11.5,0,1,greenish,3
143,300,1 kg,Gesha,,7.67,7.5,7.42,7.75,7.42,7.58,10,7.58,82.92,10.2,0,0,yellow-green,0
144,275,69 kg,Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10,7.5,82.83,10,0,0,green,4
145,2,1 kg,Gayo,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10,7.42,82.83,11.8,0,0,yellow-green,5
146,22,60 kg,Catimor,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10,7.33,82.83,13.3,0,0,green,4
147,275,69 kg,SHG,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10,7.33,82.75,10.5,5,2,green,1
148,10,30 kg,SL28,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10,7.42,82.75,11.8,0,0,pale yellow,1
149,250,70 kg,Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10,7.5,82.67,11.8,0,1,green,2
150,2,1 kg,Caturra,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10,7.33,82.67,13,1,0,greenish,0
151,6,50 kg,"Bourbon, Catimor, Caturra, Typica",Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10,7.58,82.67,11.2,0,0,yellow green,0
152,325,69 kg,Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10,7.5,82.67,9.6,0,0,green,2
153,1,4 kg,unknow,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10,7.5,82.58,9.8,0,0,green,0
154,1,32 kg,Caturra,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10,7.5,82.58,8.4,0,0,blue-green,2
155,120,45 kg,Parainema,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10,7.42,82.58,10.1,0,0,green,0
156,600,30 kg,Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10,7.33,82.5,11.3,0,0,green,2
157,200,30 kg,Caturra,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10,7.42,82.5,10,0,0,green,0
158,620,30 kg,Mundo Novo,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10,7.33,82.5,11.8,0,1,bluish-green,1
159,4,15 kg,Maragogype,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10,7.5,82.5,11.7,0,0,blue-green,1
160,10,15 kg,Pacamara,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10,7.33,82.5,10.7,0,0,pale yellow,0
161,345,30 kg,Catuai,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10,7.5,82.5,10.6,0,0,green,8
162,1,200 kg,unknown,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10,7.58,82.5,8.4,0,0,green,2
163,275,69 kg,Caturra-Catuai,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10,7.42,82.42,11.4,0,0,bluish-green,0
164,77,15 kg,Catimor,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10,7.58,82.33,10.5,0,0,bluish-green,0
165,600,30 kg,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10,7.42,82.33,12,0,7,green,10
166,275,69 kg,Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10,7.17,82.33,11.8,0,0,bluish-green,0
167,1,5 kg,unknown,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10,7.42,82.33,10.8,0,0,green,1
168,275,69 kg,Caturra,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10,7.42,82.25,11.7,0,1,greenish,3
169,3,30 kg,Typica,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10,7.33,82.17,10.6,1,0,green,5
170,13,5 kg,"SL28,SL34,Ruiru11",Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10,7.5,82.17,11.2,0,0,green,2
171,125,69 kg,Catuai,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10,7.42,82.17,10.6,0,0,green,8
172,1,3 kg,unknown,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10,7.5,82.08,9.7,0,0,bluish-green,0
173,1,60 kg,unknown,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10,7.5,82.08,8.1,0,0,greenish,3
174,1,20 kg,unknown,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10,7.42,82,8.2,0,0,green,1
175,2,1 kg,Catimor,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10,7.42,82,9.8,0,0,green,0
176,500,30 kg,Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10,7.5,82,10.5,1,2,green,8
177,275,69 kg,,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10,7.5,82,11.5,0,1,blue-green,2
178,320,60 kg,,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10,7.42,82,12.5,0,0,bluish-green,0
179,275,69 kg,Caturra,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10,7.42,81.92,11.6,0,2,greenish,2
180,540,30 kg,Caturra,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10,7.42,81.92,10.3,0,0,greenish,1
181,1,6 kg,Typica,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10,7.42,81.83,11.3,0,0,green,0
182,1,1 kg,Catimor,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10,7.33,81.83,11.2,0,0,green,4
183,14,5 kg,Yellow Catuai,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,10,7.42,81.83,11.3,0,0,pale yellow,2
184,325,59 kg,Catucai,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10,7.33,81.75,11.1,0,0,yellow-green,0
185,275,70 kg,Santander,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10,7.33,81.75,11.2,0,0,yellow-green,0
186,32,69 kg,Typica,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10,7.33,81.67,11.8,2,0,green,2
187,100,69 kg,Caturra,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10,7.42,81.58,9.7,0,2,green,4
188,1,100 kg,Typica,Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,10,7.33,81.58,9,0,0,yellow-green,0
189,1,8 kg,unknown,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10,7.33,81.5,8.5,0,0,green,0
190,2,1 kg,Java,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10,7.17,81.42,11.6,2,0,green,1
191,5,15 kg,Typica Bourbon Caturra Catimor,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10,7.25,81.33,10.5,0,0,yellowish,5
192,2,1 kg,Catimor,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10,7.17,81.17,10.4,0,0,green,0
193,1,30 kg,"Caturra,Colombia,Castillo",Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10,7.33,81.17,11.4,0,2,greenish,2
194,440,60 kg,,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10,7.25,81,10.6,0,2,greenish,1
195,1,2 kg,Bourbon,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7,10,7.17,80.83,10.5,0,8,bluish-green,7
196,275,69 kg,Caturra,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10,7.17,80.5,11.5,0,1,greenish,3
197,275,69 kg,Sarchimor,Washed / Wet,7.42,7.17,7,7.08,7.42,7.17,10,7.17,80.42,11.2,0,0,green,5
